reason,keep_id,keep_name,loser_id,loser_name,merge_command
name prefix,87,"Focused",2535,"Focused Energy","node --env-file=.env.local merge-companies.mjs --keep 87 --loser 2535 --write"
name prefix,1472,"Offshore wind in Equinor",1485,"Offshore Wind","node --env-file=.env.local merge-companies.mjs --keep 1472 --loser 1485 --write"
name prefix,261,"ATEC",2091,"ATEC Biodigestores","node --env-file=.env.local merge-companies.mjs --keep 261 --loser 2091 --write"
name prefix,87,"Focused",1327,"Focused Energy","node --env-file=.env.local merge-companies.mjs --keep 87 --loser 1327 --write"
name prefix,1300,"Ceres Power",1817,"Ceres","node --env-file=.env.local merge-companies.mjs --keep 1300 --loser 1817 --write"
name prefix,991,"Antora Energy",1566,"Antora","node --env-file=.env.local merge-companies.mjs --keep 991 --loser 1566 --write"
name prefix,982,"Electra",1928,"Electra Vehicles","node --env-file=.env.local merge-companies.mjs --keep 982 --loser 1928 --write"
name prefix,1341,"Seaborg Technologies",1368,"Seaborg","node --env-file=.env.local merge-companies.mjs --keep 1341 --loser 1368 --write"
name prefix,2417,"Green Hydrogen Systems",1821,"Green Hydrogen","node --env-file=.env.local merge-companies.mjs --keep 2417 --loser 1821 --write"
name prefix,1049,"Brenmiller",2488,"Brenmiller Energy","node --env-file=.env.local merge-companies.mjs --keep 1049 --loser 2488 --write"
name prefix,1665,"Xpeng",2110,"XPeng AeroHT","node --env-file=.env.local merge-companies.mjs --keep 1665 --loser 2110 --write"
name prefix,12,"Linde Is Everywhere",1276,"Linde","node --env-file=.env.local merge-companies.mjs --keep 12 --loser 1276 --write"
name prefix,2289,"Cook Clean",2682,"Cook Clean (Ghana)","node --env-file=.env.local merge-companies.mjs --keep 2289 --loser 2682 --write"
name prefix,2299,"African Clean Energy",2676,"African Clean Energy (ACE)","node --env-file=.env.local merge-companies.mjs --keep 2299 --loser 2676 --write"
name prefix,1313,"Greenway",2675,"Greenway Grameen Infra","node --env-file=.env.local merge-companies.mjs --keep 1313 --loser 2675 --write"
name prefix,1345,"Centrus Energy",1372,"Centrus","node --env-file=.env.local merge-companies.mjs --keep 1345 --loser 1372 --write"
name prefix,1863,"Seawind",1888,"Seawind Ocean Technology","node --env-file=.env.local merge-companies.mjs --keep 1863 --loser 1888 --write"
name prefix,2037,"Voxel",2605,"Voxel Energy","node --env-file=.env.local merge-companies.mjs --keep 2037 --loser 2605 --write"
name prefix,979,"Brimstone",2160,"Brimstone Energy","node --env-file=.env.local merge-companies.mjs --keep 979 --loser 2160 --write"
name prefix,1928,"Electra Vehicles",2723,"Electra","node --env-file=.env.local merge-companies.mjs --keep 1928 --loser 2723 --write"
name prefix,1335,"NuScale Power",1389,"NuScale","node --env-file=.env.local merge-companies.mjs --keep 1335 --loser 1389 --write"
name prefix,1389,"NuScale",2173,"NuScale Power","node --env-file=.env.local merge-companies.mjs --keep 1389 --loser 2173 --write"
