rank,name,id,slug,url,score,missing_count,name_flag,missing_fields
1,"Bolt.Earth",2726,"bolt-earth-2726","https://bolt.earth",9,5,"name is a domain","business_model; funding_stage; geographies; founding_year; logo(weak)"
2,"d.light",2305,"d-light-2305","https://www.dlight.com",9,5,"name is a domain","core_tech; target_market; customers; founding_year; logo(weak)"
3,"Sustainable Energy for All",2686,"sustainable-energy-for-all-2686","https://www.seforall.org",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
4,"Clean Cook Africa",2688,"clean-cook-africa-2688","https://www.cleancookafrica.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
5,"AI SENSE",2626,"ai-sense-2626","AI SENSE",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
6,"Morton Labs",2693,"morton-labs-2693","https://www.mortonlabs.ai/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
7,"Bluepath Finance",2701,"bluepath-finance-2701","https://bluepathfinance.com/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
8,"Sgurr Energy",2702,"sgurr-energy-2702","https://sgurrenergy.com/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
9,"Vertical Aerospace",2703,"vertical-aerospace-2703","https://vertical-aerospace.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
10,"ZeroAvia",2706,"zeroavia-2706","https://zeroavia.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
11,"Wisk Aero",2707,"wisk-aero-2707","https://wisk.aero",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
12,"Volocopter",2704,"volocopter-2704","https://volocopter.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
13,"Deftpower",2713,"deftpower-2713","https://www.deftpower.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
14,"FLEXeCHARGE",2714,"flexecharge-2714","https://www.flexecharge.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
15,"Monta",2727,"monta-2727","https://monta.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
16,"XGS Energy",2733,"xgs-energy-2733","https://xgsenergy.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
17,"Zanskar Geothermal",2734,"zanskar-geothermal-2734","https://zanskar.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
18,"Quaise Energy",2731,"quaise-energy-2731","https://www.quaise.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
19,"Sage Geosystems",2732,"sage-geosystems-2732","https://www.sagegeosystems.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
20,"GA Drilling",2737,"ga-drilling-2737","https://www.gadrilling.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
21,"ACE Green Recycling",2741,"ace-green-recycling-2741","https://www.acegreenrecycling.com/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
22,"Grid Rails",2695,"grid-rails-2695","https://gridrails.ai/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
23,"GoodLeap",2632,"goodleap-2632","https://www.goodleap.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
24,"Ambient Photonics",2637,"ambient-photonics-2637","https://www.ambientphotonics.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
25,"Insolight",2638,"insolight-2638","https://www.insolight.ch",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
26,"Morgan Solar",2636,"morgan-solar-2636","https://www.morgansolar.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
27,"AirLoom Energy",2641,"airloom-energy-2641","https://airloomenergy.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
28,"Triton Anchor",2640,"triton-anchor-2640","https://www.tritonanchor.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
29,"Aikido Technologies",2642,"aikido-technologies-2642","https://www.aikidotechnologies.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
30,"Werover",2643,"werover-2643","https://werover.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
31,"RCAM Technologies",2644,"rcam-technologies-2644","https://rcamtech.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
32,"Altaeros Energies",2645,"altaeros-energies-2645","https://altaeros.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
33,"Windesco",2646,"windesco-2646","https://windesco.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
34,"Windlift",2647,"windlift-2647","https://windliftllc.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
35,"Flower Turbines",2649,"flower-turbines-2649","https://flowerturbines.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
36,"Nearthlab",2651,"nearthlab-2651","https://nearthlab.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
37,"24M Technologies",2654,"24m-technologies-2654","https://24-m.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
38,"Epsilon Energia Solar",2953,"epsilon-energia-solar-2953","https://epsilonenergia.co.mz",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
39,"Uprise Energy",2648,"uprise-energy-2648","https://upriseenergy.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
40,"Electra",2723,"electra-2723","https://electra.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
41,"Toucan",2659,"toucan-2659","https://toucan.earth",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
42,"Sweep",2660,"sweep-2660","https://sweep.net",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
43,"Normative",2661,"normative-2661","https://normative.io",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
44,"Emitwise",2665,"emitwise-2665","https://emitwise.com/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
45,"Aclymate",2666,"aclymate-2666","https://aclymate.com/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
46,"Terrascope",2668,"terrascope-2668","https://terrascope.com/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
47,"Carbmee",2669,"carbmee-2669","https://carbmee.com/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
48,"CarbonChain",2667,"carbonchain-2667","https://carbonchain.com/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
49,"Pathzero",2671,"pathzero-2671","https://pathzero.com/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
50,"Envirofit International",2672,"envirofit-international-2672","https://envirofit.org/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
51,"Greenway Grameen Infra",2675,"greenway-grameen-infra-2675","https://www.greenway.in/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
52,"African Clean Energy (ACE)",2676,"african-clean-energy-ace-2676","https://www.africancleanenergy.com/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
53,"Solar Cookers International",2677,"solar-cookers-international-2677","https://www.solarcookers.org/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
54,"Inyenyeri",2680,"inyenyeri-2680","https://www.inyenyeri.com/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
55,"StoveTeam International",2678,"stoveteam-international-2678","https://www.stoveteam.org/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
56,"Aprovecho Research Center",2679,"aprovecho-research-center-2679","https://aprovecho.org/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
57,"Cook Clean (Ghana)",2682,"cook-clean-ghana-2682","https://cookcleanghana.com/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
58,"EcoBora",2683,"ecobora-2683","https://www.ecobora.co.ke/",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
59,"Intersect Power",2766,"intersect-power-2766","https://intersectpower.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
60,"ENTRUST Solutions Group",2769,"entrust-solutions-group-2769","https://entrustsol.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
61,"GREW Solar",2820,"grew-solar-2820","https://thegrewsolar.com",8,8,"","core_tech; business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
62,"Lug+Carrie",2890,"lug-carrie-2890","https://lug-carrie.com",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
63,"StrainX",2891,"strainx-2891","https://strainx.in",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
64,"Bohr Energie",2899,"bohr-energie-2899","https://bohr-energie.fr",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
65,"WeSort.AI",2898,"wesort-ai-2898","https://wesort.ai",7,3,"name is a domain","business_model; geographies; founding_year"
66,"HyET Hydrogen",2721,"hyet-hydrogen-2721","https://hyethydrogen.com/",7,7,"","core_tech; business_model; funding_stage; target_market; geographies; customers; logo(weak)"
67,"TerraSpark",2923,"terraspark-2923","https://terraspark.energy",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
68,"Nature Robots",2928,"nature-robots-2928","https://naturerobots.com",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
69,"Plume",2935,"plume-2935","https://plume.energy",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
70,"Alsym Energy",2696,"alsym-energy-2696","https://www.alsym.com/",7,7,"","business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
71,"Power Planet",2739,"power-planet-2739","https://powerplanet.com",7,7,"","business_model; funding_stage; target_market; geographies; customers; founding_year; logo(weak)"
72,"Elea & Lili",2939,"elea-lili-2939","https://elealili.com",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
73,"eVillage",2744,"evillage-2744","https://www.evillage.io/",7,7,"","core_tech; business_model; funding_stage; target_market; geographies; customers; logo(weak)"
74,"Porelio",2942,"porelio-2942","https://porelio.com",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
75,"Vyterra Renewables",2945,"vyterra-renewables-2945","https://vyterra.com",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
76,"Wildfire Energy",2948,"wildfire-energy-2948","https://wildfireenergy.com.au",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
77,"Archimede",2947,"archimede-2947","https://archimedeworld.com",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
78,"Albatross Energetics",2950,"albatross-energetics-2950","https://albatross-energetics.in",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
79,"OnePower Africa",2951,"onepower-africa-2951","https://1pwrafrica.com",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
80,"Shoals",2722,"shoals-2722","https://shoals.com/en/",7,7,"","core_tech; business_model; funding_stage; target_market; geographies; customers; logo(weak)"
81,"China Resources New Energy",2768,"china-resources-new-energy-2768","https://cr-power.com",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
82,"Origis Energy",2778,"origis-energy-2778","https://origisenergy.com",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
83,"ScottishPower",2779,"scottishpower-2779","https://scottishpower.com",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
84,"MN8 Energy",2782,"mn8-energy-2782","https://mn8.com",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
85,"SOLV Energy",2783,"solv-energy-2783","https://solvenergy.com",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
86,"GIGA Storage",2785,"giga-storage-2785","https://giga-storage.com",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
87,"DK Electronic Materials (DKEM)",2790,"dk-electronic-materials-dkem-2790","https://dkem.cn",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
88,"Greenvolt",2806,"greenvolt-2806","https://greenvolt.com",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
89,"Pentalum",2208,"pentalum-2208","https://www.pentalum.com/",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
90,"NGEN Energetske Rešitve",2828,"ngen-energetske-re-itve-2828","https://ngen-group.eu",7,7,"","core_tech; business_model; target_market; geographies; customers; founding_year; logo(weak)"
91,"Sustainable solutions for the metals and the mining industries",1002,"sustainable-solutions-for-the-metals-and-the-mining-industries-1002","https://www.tenova.com",6,2,"name too long (scraped title?)","customers; founding_year"
