company,raise_usd,stage,website,press_email,contact_email,confidence,subject,added_to_directory
"AES","10700000000","","https://www.aes.com","","","high","Covering AES's $10.7B acquisition — would love to connect","yes"
"Intersect Power","4750000000","","https://www.intersectpower.com","","","high","Covering Intersect's $4.75B acquisition by Google — would love to connect","yes"
"Rivian","4500000000","","https://rivian.com","press@rivian.com","","high","Feature idea: Rivian's $4.5B DOE loan & Georgia factory — The Energy Pioneer","yes"
"China Resources New Energy","3600000000","ipo","https://www.cr-power.com/en/","","","high","The Energy Pioneer – covering China Resources New Energy's record Shenzhen IPO","yes"
"ENTRUST Solutions Group","2400000000","","https://www.entrustsol.com","","","high","Covering ENTRUST's $2.4B acquisition — worth a quick chat?","yes"
"U.S. Steel","1900000000","","https://www.ussteel.com","","ecchieng@uss.com","high","The Energy Pioneer – U.S. Steel's $1.9B DRI Investment","yes"
"Fervo Energy","1900000000","ipo","https://fervoenergy.com","","","high","Fervo's IPO & covering the geothermal story — The Energy Pioneer","existing/no"
"Cypress Creek Energy","1800000000","","https://cypresscreekenergy.com","angeli.chandler@ccrenew.com","","high","Featuring Cypress Creek in The Energy Pioneer","yes"
"Stegra","1650000000","","https://stegra.com","press@stegra.com","","high","The Energy Pioneer – covering Stegra's €1.4B round","existing/no"
"IPX Power","1600000000","","https://ipxpower.com","","","high","The Energy Pioneer – covering IPX Power's $1.6B raise","yes"
"United Solar","1600000000","","https://www.unitedsolarholding.com","jessi.zhang@unitedsolarholding.com","USP@unitedsolarholding.com","high","The Energy Pioneer – featuring United Solar's $1.6B raise","yes"
"Nscale","1400000000","","https://www.nscale.com","","","high","Covering Nscale's $1.4B raise — feature in The Energy Pioneer?","yes"
"Nadara","1400000000","","https://nadara.com","","","high","Covering Nadara's €1.2bn refinancing — feature + intro?","yes"
"ENERPARC AG","1150000000","","https://www.enerparc.de/en","","mail@enerparc.com","high","Covering ENERPARC's €1bn raise – feature in The Energy Pioneer?","yes"
"Enviromena","1100000000","","https://www.enviromena.com","communications@enviromena.com","communications@enviromena.com","high","Covering Enviromena's £825M financing — feature in The Energy Pioneer?","yes"
"Origis Energy","900000000","","https://www.origisenergy.com","","","high","Covering Origis Energy's $900M raise — feature in The Energy Pioneer?","yes"
"ScottishPower","804000000","","https://www.scottishpower.com","","","high","Covering ScottishPower's £600m NWF raise — feature in The Energy Pioneer?","yes"
"Primergy","760000000","","https://www.primergysolar.com","","","high","Covering Primergy's $760M Gemini refinancing — feature + intro?","yes"
"Atome PLC","665000000","","https://www.atomeplc.com","","","high","Covering Atome's $665M FID — feature in The Energy Pioneer?","yes"
"MN8 Energy","650000000","","https://mn8.com","","","high","Covering MN8's $650M credit facility — would love to connect","yes"
"SOLV Energy","589000000","ipo","https://www.solvenergy.com","","","high","Covering SOLV Energy's IPO for The Energy Pioneer","yes"
"Vibrant Energy","539000000","","https://www.vibrantenergy.in","","","high","Covering Vibrant Energy's $539M acquisition for The Energy Pioneer","yes"
"GIGA Storage","513000000","","https://giga-storage.com","","info@giga-storage.com","high","Featuring GIGA Storage in The Energy Pioneer","yes"
"Crux","500000000","","https://www.cruxclimate.com","","","high","Covering Crux's $500M Nuveen facility — feature + quick intro?","yes"
"Vena Energy","483000000","","https://www.venaenergy.com","","enquiries@venagroup.com","high","Covering Vena Energy's $483M raise — feature idea for The Energy Pioneer","yes"
"Proxima Fusion","470000000","series_a","https://www.proximafusion.com","press@proximafusion.com","info@proximafusion.com","high","Covering Proxima Fusion's €411M round – feature in The Energy Pioneer?","yes"
"CuspAI","450000000","series_b","https://cusp.ai","","privacy@cusp.ai","high","Covering CuspAI's $450M raise for The Energy Pioneer","yes"
"DK Electronic Materials (DKEM)","413000000","growth","https://www.dkem.cn","","","high","The Energy Pioneer – covering DKEM's CNY 3B raise","yes"
"Blue Energy","380000000","series_a","https://www.blueenergy.co","press@blueenergy.com","","high","Covering Blue Energy's $380M raise — feature + quick intro?","yes"
"Prevalon Energy","365000000","","https://www.prevalonenergy.com","","","high","Prevalon + Nextpower — worth a feature in Energy Pioneer?","yes"
"ICEYE","349000000","","https://www.iceye.com","press@iceye.fi","","high","The Energy Pioneer – featuring ICEYE's funding & climate monitoring work","yes"
"Inox Clean Energy","343000000","","https://inoxclean.com","","","high","Covering Inox Clean Energy for The Energy Pioneer","yes"
"Fidra Energy","311000000","","https://fidraenergy.com","","","high","Featuring Fidra Energy in The Energy Pioneer","yes"
"EnerVenue","300000000","series_b","https://www.enervenue.com","media@enervenue.com","contactus@enervenue.com","high","Covering EnerVenue's $300M raise for The Energy Pioneer","existing/no"
"Sila Nanotechnologies","300000000","growth","https://www.silanano.com","","","high","Covering Sila's $300M raise for The Energy Pioneer","existing/no"
"Cowboy Space Corporation","275000000","series_b","https://www.cowboyspace.com","","","high","Covering Cowboy Space's $275M raise — would love to connect","yes"
"Avantus","263000000","","https://avantus.com","","","high","Covering Avantus's latest raise — feature in The Energy Pioneer?","yes"
"ILOS","235000000","","https://www.ilos-energy.com","","info@ilos-energy.com","high","Covering ILOS's €450M facility — feature in The Energy Pioneer?","yes"
"Sunwafe","232600000","","https://sunwafe.com","","","high","Feature Sunwafe in The Energy Pioneer","yes"
"Aiko Solar","229000000","","https://aikosolar.com","","","high","Covering Aiko Solar's $229M ABC capacity expansion — EP Network","yes"
"Spearmint Energy","225000000","","https://www.spearmintenergy.com","","info@spearmintenergy.com","high","Covering Spearmint's $225M raise for Red Egret — feature in The Energy Pioneer?","yes"
"Halter","220000000","growth","https://www.halterhq.com","media@halter.co.nz","contact@halter.co.nz","medium","Featuring Halter in The Energy Pioneer","yes"
"Evren","200000000","","https://www.evrenenergy.com","","","high","Covering Evren's $600M raise – would love to feature you in The Energy Pioneer","yes"
"Also","200000000","series_c","https://www.ridealso.com","","","high","Feature on Also's $200M Series C + quick intro?","yes"
"AMPYR Distributed Energy","194000000","","https://www.ampyrde.com","","","high","The Energy Pioneer – featuring AMPYR Distributed Energy","yes"
"Greenvolt","180000000","","https://greenvolt.com","media@greenvolt.com","geral@greenvolt.com","high","Featuring Greenvolt in The Energy Pioneer","yes"
"British Solar Renewables","173000000","","https://www.britishrenewables.com","press@britishrenewables.com","info@britishrenewables.com","high","Covering BSR's £130M Eiffel raise — feature in The Energy Pioneer?","yes"
"Starcloud","170000000","series_a","https://www.starcloud.com","","","high","Covering Starcloud's $170M raise — would love to connect","yes"
"Lime","167000000","ipo","https://www.li.me","press@li.me","support@li.me","high","The Energy Pioneer – covering Lime's Nasdaq debut","yes"
"Clean Max Enviro Energy Solutions","165000000","","https://www.cleanmax.com","","","high","Covering CleanMax's $165M raise — would love to connect","yes"
"VC Renewables","158000000","","https://vcrenewables.com","","","high","Covering VC Renewables + the Medway BESS milestone","yes"
"Oishii Farm","150000000","series_c","https://oishii.com","","","high","Featuring Oishii's $150M Series C in The Energy Pioneer","yes"
"Amarenco","150000000","","https://www.amarencogroup.com","","","high","Featuring Amarenco in The Energy Pioneer","yes"
"Heron Power","140000000","series_b","https://heronpower.com","","","high","The Energy Pioneer – featuring Heron Power's $140M Series B","yes"
